pair_id,pair_type,transformation,interval_ngram_similarity,lcs_similarity,edit_distance_similarity,chord_ngram_similarity,harmonic_edit_distance,pitch_class_similarity,rhythm_ngram_similarity,ioi_similarity,rhythmic_edit_distance,score_melody,score_harmony,score_rhythm,score_global,simple_average,weighted_average,comparison_representation,experiment_category
pair_004603,negative,None,0.025641,0.160000,0.120000,0.000000,0.038462,0.041667,0.000000,0.267148,0.000000,0.101880,0.026710,0.089049,0.072363,0.072546,0.072363,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/782_segment_01.json,Transformações Combinadas
pair_004604,negative,None,0.000000,0.200000,0.160000,0.000000,0.115385,0.130769,0.000000,0.337087,0.000000,0.120000,0.082051,0.112362,0.104809,0.104805,0.104809,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/859_segment_01.json,Transformações Combinadas
pair_004605,negative,None,0.000000,0.000000,0.000000,0.000000,0.038462,0.167949,0.000000,0.000000,0.000000,0.000000,0.068804,0.000000,0.024081,0.022934,0.024081,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/chord_substitution/random_seed_42__strength_0p25/894_segment_01.json,Transformações Harmônicas
pair_004606,negative,None,0.016667,0.105263,0.078947,0.000000,0.051282,0.131197,0.000000,0.316744,0.000000,0.066959,0.060826,0.105581,0.074468,0.077789,0.074468,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_harmony_rhythm/mhr__hcs_strength_0p25__mt_semitones_2__rtc_tempo_factor_0p8/897_segment_01.json,Transformações Combinadas
pair_004607,negative,None,0.000000,0.000000,0.000000,0.000000,0.040000,0.020000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.007000,0.006667,0.007000,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/simplification/random_seed_42__strength_0p25/028_segment_01.json,Transformações Harmônicas
pair_004608,negative,None,0.022222,0.208333,0.000000,0.000000,0.000000,0.008000,0.000000,0.349329,0.000000,0.076852,0.002667,0.116443,0.060785,0.065320,0.060785,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/representations/047_segment_01.json,Outros
pair_004609,negative,None,0.000000,0.166667,0.166667,0.000000,0.120000,0.130000,0.000000,0.243976,0.000000,0.111111,0.083333,0.081325,0.093942,0.091923,0.093942,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/melody_rhythm/mr__mt_semitones_2__rtc_tempo_factor_0p8/176_segment_01.json,Transformações Combinadas
pair_004610,negative,None,0.046296,0.175824,0.175824,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.132648,0.000000,0.000000,0.053059,0.044216,0.053059,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/melody/simplification/random_seed_42__strength_0p25/224_segment_01.json,Transformações Melódicas
pair_004611,negative,None,0.086957,0.125000,0.125000,0.000000,0.038760,0.024160,0.000000,0.034015,0.000000,0.112319,0.020973,0.011338,0.055103,0.048210,0.055103,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/combined/harmony_rhythm/hr__hcs_strength_0p25__rtc_tempo_factor_0p8/226_segment_02.json,Transformações Combinadas
pair_004612,negative,None,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,D:/Usuários/Bruna/Projetos/academic/plagiarismDetectMethodsEval/data/processed/transformations/harmony/reharmonization/random_seed_42__strength_0p25/471_segment_01.json,Transformações Harmônicas
